Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
Coyote Ugly Saloon,326 Beale St,Memphis,TN,38103,,Downtown,(901) 888-8459,,,Yes,No,2.0 star rating,63 reviews,http://www.coyoteuglysaloon.com,Moderate,Mon 4:00 pm - 1:00 am<br>Tue 4:00 pm - 1:00 am<br>Wed 4:00 pm - 1:00 am<br>Thu 4:00 pm - 1:00 am<br>Fri 4:00 pm - 3:00 am<br>Sat 2:00 pm - 3:00 am<br>Sun 5:00 pm - 1:00 am<br>,No,,,Yes,,,,,Yes,,Divey,Loud,,,Full Bar,,,,,No,,Yes,,,,,"Dive Bars, Adult Entertainment, Dive Bars, Adult Entertainment",35.139696,-90.050260,"https://s3-media2.fl.yelpcdn.com/bphoto/xzQHRIXhiJHSblIeVQG-6A/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/xzQHRIXhiJHSblIeVQG-6A/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/xzQHRIXhiJHSblIeVQG-6A/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/xzQHRIXhiJHSblIeVQG-6A/300s.jpg 1.20x",http://www.yelp.com/biz/coyote-ugly-saloon-memphis?osq=Adult+Entertainment,,,,,,
The Gold Club,777 N White Station Rd,Memphis,TN,38122,,Berclair,(901) 682-4615,,,Yes,No,2.5 star rating,7 reviews,,Moderate,Mon 11:00 am - 3:00 am<br>Tue 11:00 am - 3:00 am<br>Wed 11:00 am - 3:00 am<br>Thu 11:00 am - 4:00 am<br>Fri 11:00 am - 6:00 am<br>Sat 11:00 am - 6:00 am<br>Sun 4:00 pm - 3:00 am<br>,,,,Yes,,,,,Yes,,,,,,Beer & Wine Only,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",35.152316,-89.888559,"https://s3-media3.fl.yelpcdn.com/bphoto/4ehXfZTg-kMPdOUXRap9Sw/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/4ehXfZTg-kMPdOUXRap9Sw/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/4ehXfZTg-kMPdOUXRap9Sw/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/4ehXfZTg-kMPdOUXRap9Sw/300s.jpg 1.20x",http://www.yelp.com/biz/the-gold-club-memphis?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/pony-memphis?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/babes-of-babylon-memphis?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/cloud-blu-memphis?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/pure-passion-memphis?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/genesis-club-memphis-2?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/purple-diamond-gentlemens-club-memphis?osq=Adult+Entertainment,,,,,,
