Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
Coyote Ugly Saloon,326 Beale St,Memphis,TN,38103,,Downtown,(901) 888-8459,,,Yes,No,2.0 star rating,63 reviews,http://www.coyoteuglysaloon.com,Moderate,Mon 4:00 pm - 1:00 am<br>Tue 4:00 pm - 1:00 am<br>Wed 4:00 pm - 1:00 am<br>Thu 4:00 pm - 1:00 am<br>Fri 4:00 pm - 3:00 am<br>Sat 2:00 pm - 3:00 am<br>Sun 5:00 pm - 1:00 am<br>,No,,,Yes,,,,,Yes,,Divey,Loud,,,Full Bar,,,,,No,,Yes,,,,,"Dive Bars, Adult Entertainment, Dive Bars, Adult Entertainment",35.139696,-90.050260,"https://s3-media2.fl.yelpcdn.com/bphoto/xzQHRIXhiJHSblIeVQG-6A/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/xzQHRIXhiJHSblIeVQG-6A/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/xzQHRIXhiJHSblIeVQG-6A/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/xzQHRIXhiJHSblIeVQG-6A/300s.jpg 1.20x",http://www.yelp.com/biz/coyote-ugly-saloon-memphis?osq=Adult+Entertainment,,,,,,
The Gold Club,777 N White Station Rd,Memphis,TN,38122,,Berclair,(901) 682-4615,,,Yes,No,2.5 star rating,7 reviews,,Moderate,Mon 11:00 am - 3:00 am<br>Tue 11:00 am - 3:00 am<br>Wed 11:00 am - 3:00 am<br>Thu 11:00 am - 4:00 am<br>Fri 11:00 am - 6:00 am<br>Sat 11:00 am - 6:00 am<br>Sun 4:00 pm - 3:00 am<br>,,,,Yes,,,,,Yes,,,,,,Beer & Wine Only,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",35.152316,-89.888559,"https://s3-media3.fl.yelpcdn.com/bphoto/4ehXfZTg-kMPdOUXRap9Sw/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/4ehXfZTg-kMPdOUXRap9Sw/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/4ehXfZTg-kMPdOUXRap9Sw/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/4ehXfZTg-kMPdOUXRap9Sw/300s.jpg 1.20x",http://www.yelp.com/biz/the-gold-club-memphis?osq=Adult+Entertainment,,,,,,
Pony,3918 Winchester Rd,Memphis,TN,38118,,Whitehaven,(901) 363-3646,,,Yes,No,3.0 star rating,5 reviews,,Moderate,Mon 11:00 am - 3:00 am<br>Tue 11:00 am - 3:00 am<br>Wed 11:00 am - 3:00 am<br>Thu 11:00 am - 4:00 am<br>Fri 11:00 am - 6:00 am<br>Sat 11:00 am - 6:00 am<br>Sun 4:00 pm - 3:00 am<br>,,,,Yes,,,,,Yes,,,Loud,,,Beer & Wine Only,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",35.052208,-89.932957,"https://s3-media2.fl.yelpcdn.com/bphoto/cP7xjcT-muiHVbmZ_eNTAQ/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/cP7xjcT-muiHVbmZ_eNTAQ/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/cP7xjcT-muiHVbmZ_eNTAQ/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/cP7xjcT-muiHVbmZ_eNTAQ/300s.jpg 1.20x",http://www.yelp.com/biz/pony-memphis?osq=Adult+Entertainment,,,,,,
Babes of Babylon,1575 E Brooks Rd,Memphis,TN,38116,,Whitehaven,(901) 332-0044,,,Yes,No,1.0 star rating,2 reviews,,Inexpensive,,,,,Yes,,,,,No,,,Very Loud,,,Full Bar,,,,,No,,No,,,,,"Adult Entertainment, Adult Entertainment",35.060598,-90.011501,,http://www.yelp.com/biz/babes-of-babylon-memphis?osq=Adult+Entertainment,,,,,,
Cloud Blu,3285 Hacks Cross Rd,Memphis,TN,38125,,Forest View,(678) 826-7341,,,Yes,No,4.5 star rating,3 reviews,http://www.cloudblu2020.com,Moderate,Mon 7:00 pm - 10:00 pm<br>Tue Closed<br>Wed 7:00 pm - 12:00 am<br>Thu Closed<br>Fri 7:00 pm - 1:45 am<br>Sat 7:00 pm - 1:45 am<br>Sun 9:00 pm - 1:00 am<br>,Yes,,,Yes,,,,,Yes,,,Loud,DJ,Yes,Full Bar,,Sat,,,No,,Yes,,,,,"Lounges, Adult Entertainment, Lounges, Adult Entertainment",35.059893,-89.793986,"https://s3-media1.fl.yelpcdn.com/bphoto/ZYMgUKFRHNHSwPJI9LP8ww/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/ZYMgUKFRHNHSwPJI9LP8ww/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/ZYMgUKFRHNHSwPJI9LP8ww/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/ZYMgUKFRHNHSwPJI9LP8ww/300s.jpg 1.20x",http://www.yelp.com/biz/cloud-blu-memphis?osq=Adult+Entertainment,$40 for $55 Deal at Cloud Blu,You get a voucher redeemable for $55 at Cloud Blu.,$55,27%,$15,https://www.yelp.com/checkout/deal/unNE4R1xPpaXUqD7EejukA?biz_id=0Zq_FQSfWXlAPjnnuALRtQ&return_url=%2Fbiz%2Fcloud-blu-memphis
Black Orchid,2080 E Brooks Rd,Memphis,TN,38116,,,(901) 345-1874,,,Yes,No,1.0 star rating,1 review,http://www.blackorchidclub.com,Pricey,Mon Closed<br>Tue Closed<br>Wed 6:00 pm - 3:00 am<br>Thu 6:00 pm - 4:00 am<br>Fri 6:00 pm - 4:00 am<br>Sat 6:00 pm - 4:00 am<br>Sun Closed<br>,,,,,,,,,No,,,,,,,,,,,No,,,,,,,"Adult Entertainment, Adult Entertainment",35.068849,-89.985942,,http://www.yelp.com/biz/black-orchid-memphis?osq=Adult+Entertainment,,,,,,
Pure Passion,1849 E Brooks Rd,Memphis,TN,38116,,Whitehaven,(901) 398-2700,,,No,No,,,,Inexpensive,,,,,No,,,,,Yes,,,,,,,,,,,,,Yes,,,,,"Adult Entertainment, Adult Entertainment",35.060438,-90.002155,"https://s3-media1.fl.yelpcdn.com/bphoto/idEebXT40SVMhFP_99YqFg/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/idEebXT40SVMhFP_99YqFg/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/idEebXT40SVMhFP_99YqFg/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/idEebXT40SVMhFP_99YqFg/300s.jpg 1.20x",http://www.yelp.com/biz/pure-passion-memphis?osq=Adult+Entertainment,,,,,,
Genesis Club,5367 Knight Arnold Rd,Memphis,TN,38115,,Fox Meadows,(731) 798-6346,,,Yes,No,,,http://www.genesisclubmemphis.com,Moderate,Mon Closed<br>Tue Closed<br>Wed Closed<br>Thu Closed<br>Fri Closed<br>Sat 8:00 pm - 2:00 am<br>Sun Closed<br>,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,"Dance Clubs, Adult Entertainment, Lounges, Dance Clubs, Adult Entertainment, Lounges",35.061859,-89.884691,"https://s3-media2.fl.yelpcdn.com/bphoto/5sBMEgLZv3qLEDQ9glwTuA/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/5sBMEgLZv3qLEDQ9glwTuA/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/5sBMEgLZv3qLEDQ9glwTuA/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/5sBMEgLZv3qLEDQ9glwTuA/300s.jpg 1.20x",http://www.yelp.com/biz/genesis-club-memphis-2?osq=Adult+Entertainment,,,,,,
Purple Diamond Gentlemen’s Club,6102 Macon Rd,Memphis,TN,38134,,,(901) 266-1492,,,Yes,No,3.0 star rating,2 reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",35.164150,-89.859303,,http://www.yelp.com/biz/purple-diamond-gentlemens-club-memphis?osq=Adult+Entertainment,,,,,,
