Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
Centerfolds,12 Lagrange St,Boston,MA,02116,b/t Tamworth St & Washington St,Chinatown,(617) 292-2600,"Boston's only Gentlemen's Club! Centerfolds Boston features over 100 beautiful Entertainers. We pride ourselves on excellent service, hospitality, and world class entertainment. This …Learn more about Centerfolds, Opens a popupSpecialtiesBoston's only Gentlemen's Club! Centerfolds Boston features over 100 beautiful Entertainers. We pride ourselves on excellent service, hospitality, and world class entertainment. This multi-level state of the art entertainment complex includes a mezzanine level overlooking all of the action on the first floor. Our second floor features an additional stage, bar, and Boston's only shower show. It's well suited for private parties and corporate events. Our third floor and Platinum Lounge creates and exclusive intimate setting with custom booths and comfortable seating. If you are looking for the best entertainment in the city of Boston, it's here at Centerfolds Boston just a short cab ride away. We look forward to showing you the best of what Boston has to offer for adult entertainment.",,Yes,No,2.5 star rating,54 reviews,http://centerfoldsboston.com,Pricey,Mon 12:00 pm - 2:00 am<br>Tue 12:00 pm - 2:00 am<br>Wed 12:00 pm - 2:00 am<br>Thu 12:00 pm - 2:00 am<br>Fri 12:00 pm - 2:00 am<br>Sat 3:00 pm - 2:00 am<br>Sun 6:00 pm - 2:00 am<br>,Yes,,,Yes,,Street,,,Yes,,,Average,,,Full Bar,,,,,No,Free,Yes,,,,,"Adult Entertainment, Bars, Adult Entertainment, Bars",42.351614,-71.063347,"https://s3-media2.fl.yelpcdn.com/bphoto/7Of0_GP270UhljtKJymBJQ/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/7Of0_GP270UhljtKJymBJQ/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/7Of0_GP270UhljtKJymBJQ/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/7Of0_GP270UhljtKJymBJQ/300s.jpg 1.20x",http://www.yelp.com/biz/centerfolds-boston-2?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Male Encounter,19 Yawkey Way Who's On First,Boston,MA,01906,,Fenway,(866) 400-6253,,Brad S.,Yes,No,4.0 star rating,3 reviews,http://www.maleencounterboston.com,,Mon Closed<br>Tue Closed<br>Wed Closed<br>Thu Closed<br>Fri Closed<br>Sat 8:00 pm - 12:00 am<br>Sun Closed<br>,,,,Yes,,,,,Yes,,,Loud,,,Full Bar,,,,,No,,,,,,,"Adult Entertainment, Party & Event Planning, Adult Entertainment, Party & Event Planning",42.346093,-71.098847,"https://s3-media4.fl.yelpcdn.com/bphoto/WJfqVNAQUxun7K41c52Uyw/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/WJfqVNAQUxun7K41c52Uyw/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/WJfqVNAQUxun7K41c52Uyw/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/WJfqVNAQUxun7K41c52Uyw/300s.jpg 1.20x",http://www.yelp.com/biz/the-male-encounter-boston?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Cat Burlesque,,Boston,MA,02228,,Downtown,,,,Yes,No,4.0 star rating,1 review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Performing Arts, Adult Entertainment, Performing Arts, Adult Entertainment",,,,http://www.yelp.com/biz/black-cat-burlesque-boston?osq=Adult+Entertainment,,,,,,
Fenway Strippers,17 Yawkey Way,Boston,MA,02215,b/t Van Ness St & Brookline Ave,Fenway,(617) 849-9098,,,Yes,No,1.0 star rating,1 review,http://www.fenwaystrippers.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",42.346197,-71.098653,"https://s3-media1.fl.yelpcdn.com/bphoto/bo6JjcnolXQr5ziaKFFLRA/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/bo6JjcnolXQr5ziaKFFLRA/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/bo6JjcnolXQr5ziaKFFLRA/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/bo6JjcnolXQr5ziaKFFLRA/300s.jpg 1.20x",http://www.yelp.com/biz/fenway-strippers-boston?osq=Adult+Entertainment,,,,,,
Best Boston Strippers,,Boston,MA,02127,,South Boston,(617) 800-6444,,jay H.,Yes,No,,,http://www.bestbostonstrippers.com,Moderate,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,Yes,,,,,Yes,,,Average,,,No,,,,,No,,No,,,,,"Adult Entertainment, Adult Entertainment",,,"https://s3-media2.fl.yelpcdn.com/bphoto/9Iti2stVOlEltSFh5prIVA/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/9Iti2stVOlEltSFh5prIVA/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/9Iti2stVOlEltSFh5prIVA/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/9Iti2stVOlEltSFh5prIVA/300s.jpg 1.20x",http://www.yelp.com/biz/best-boston-strippers-boston?osq=Adult+Entertainment,$275 for $350 Deal at Best Boston Strippers,You get a voucher redeemable for $350 at Best Boston Strippers.,$350,21%,$75,https://www.yelp.com/checkout/deal/dJzootmS3LL-HvDELomqLA?biz_id=cIgcH90yslmxUo6tXbybkw&return_url=%2Fbiz%2Fbest-boston-strippers-boston
Seaport Partners Club,40 Dalton St,Boston,MA,02115,b/t Scotia St & Belvidere St,,(617) 410-6451,,,No,No,,,,Moderate,Mon Closed<br>Tue Closed<br>Wed Closed<br>Thu Closed<br>Fri 1:00 pm - 9:00 pm<br>Sat 1:00 pm - 9:00 pm<br>Sun Closed<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",42.339904,-71.089889,"https://s3-media4.fl.yelpcdn.com/bphoto/EtMKU3J5Uoi4tztZyh33_A/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/EtMKU3J5Uoi4tztZyh33_A/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/EtMKU3J5Uoi4tztZyh33_A/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/EtMKU3J5Uoi4tztZyh33_A/300s.jpg 1.20x",http://www.yelp.com/biz/seaport-partners-club-boston?osq=Adult+Entertainment,,,,,,
New England Strippers,,Boston,MA,02129,,Charlestown,(877) 847-1904,,,No,No,,,http://www.bestdamnstrippers.com,Moderate,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",,,"https://s3-media1.fl.yelpcdn.com/bphoto/cBjdws2a5xr3Irc8h053fg/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/cBjdws2a5xr3Irc8h053fg/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/cBjdws2a5xr3Irc8h053fg/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/cBjdws2a5xr3Irc8h053fg/300s.jpg 1.20x",http://www.yelp.com/biz/new-england-strippers-boston?osq=Adult+Entertainment,,,,,,
Hardbodies Strippers,,Boston,MA,02108,,Financial District,(617) 202-9077,,,Yes,No,,,http://www.hardbodiesstrippers.com,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",,,"https://s3-media2.fl.yelpcdn.com/bphoto/GAIFHPU3BA6PuFUiDBDssQ/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/GAIFHPU3BA6PuFUiDBDssQ/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/GAIFHPU3BA6PuFUiDBDssQ/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/GAIFHPU3BA6PuFUiDBDssQ/300s.jpg 1.20x",http://www.yelp.com/biz/hardbodies-strippers-boston?osq=Adult+Entertainment,,,,,,
