Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
Crazy Horse,1438 St Clair Ave,Cleveland,OH,44114,,Northeast District,(216) 928-1111,,,Yes,No,4.5 star rating,4 reviews,http://crazyhorseclevelandoh.com/,Moderate,Mon 12:00 pm - 2:30 am<br>Tue 12:00 pm - 2:30 am<br>Wed 12:00 pm - 2:30 am<br>Thu 12:00 pm - 2:30 am<br>Fri 12:00 pm - 2:30 am<br>Sat 7:00 pm - 2:30 am<br>Sun Closed<br>,,,,Yes,,Private Lot,,,Yes,,,,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment, Adult Entertainment, Adult Entertainment",41.505958,-81.685505,"https://s3-media2.fl.yelpcdn.com/bphoto/EarYF-oSSed9o9kXnMR5kg/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/EarYF-oSSed9o9kXnMR5kg/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/EarYF-oSSed9o9kXnMR5kg/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/EarYF-oSSed9o9kXnMR5kg/300s.jpg 1.20x",http://www.yelp.com/biz/crazy-horse-cleveland?osq=Adult+Entertainment,,,,,,
Christie’s Cabaret,1180 Main Ave,Cleveland,OH,44113,,West Bank,(216) 574-6222,,,Yes,No,3.5 star rating,20 reviews,http://christiescabaret.com,Moderate,Mon 11:00 am - 2:30 am<br>Tue 11:00 am - 2:30 am<br>Wed 11:00 am - 2:30 am<br>Thu 11:00 am - 2:30 am<br>Fri 11:00 am - 2:30 am<br>Sat 11:00 am - 2:30 am<br>Sun 4:00 pm - 2:30 am<br>,,,,Yes,,Private Lot,,,Yes,,Casual,Average,,,Full Bar,,,,,Yes,,Yes,,,,,"Adult Entertainment, Adult Entertainment",41.497661,-81.708313,"https://s3-media4.fl.yelpcdn.com/bphoto/JbfjlBT2g0BGImpb8rwmQA/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/JbfjlBT2g0BGImpb8rwmQA/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/JbfjlBT2g0BGImpb8rwmQA/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/JbfjlBT2g0BGImpb8rwmQA/300s.jpg 1.20x",http://www.yelp.com/biz/christies-cabaret-cleveland?osq=Adult+Entertainment,,,,,,
Diamond Men’s Club,1628 Fall St,Cleveland,OH,44113,,The Flats,(216) 621-1840,"Diamonds is Cleveland's original (built in 1968), best Gentlemen's Club-The best food (Only Certified Angus Steaks), drink & dancers-Walking distance from Downtown's hotels, sports …Learn more about Diamond Men’s Club, Opens a popupSpecialtiesDiamonds is Cleveland's original (built in 1968), best Gentlemen's Club-The best food (Only Certified Angus Steaks), drink & dancers-Walking distance from Downtown's hotels, sports venues and new Casino!HistoryEstablished in 1968.Diamonds is Cleveland's original, best Gentlemen's Club-The best food, drink & dancers-Walking distance from Downtown's hotels, sports venues and Casino!",,Yes,No,3.0 star rating,13 reviews,http://dmclubs.com,Moderate,Mon 5:00 pm - 2:30 am<br>Tue 5:00 pm - 2:30 am<br>Wed 5:00 pm - 2:30 am<br>Thu 5:00 pm - 2:30 am<br>Fri 5:00 pm - 2:30 am<br>Sat 6:00 pm - 2:30 am<br>Sun 6:00 pm - 2:30 am<br>,,,,Yes,,"Street, Private Lot",Yes,,Yes,,,Loud,,,Full Bar,Yes,,,Outdoor Area / Patio Only,Yes,,Yes,,,,,"Adult Entertainment, Adult Entertainment",41.493230,-81.702127,"https://s3-media4.fl.yelpcdn.com/bphoto/aFChvuWXTSyYOwOKOLvu8A/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/aFChvuWXTSyYOwOKOLvu8A/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/aFChvuWXTSyYOwOKOLvu8A/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/aFChvuWXTSyYOwOKOLvu8A/300s.jpg 1.20x",http://www.yelp.com/biz/diamond-mens-club-cleveland?osq=Adult+Entertainment,$25 for $50 Deal at Diamond Men's Club,You get a voucher redeemable for $50 at Diamond Men's Club.,$50,50%,$25,https://www.yelp.com/checkout/deal/usbtJAYH2sZ3wsMmzrOXFg?biz_id=9lDpO8fpgZKd18yskBM3Zw&return_url=%2Fbiz%2Fdiamond-mens-club-cleveland
Larry Flynt’s Hustler Club,1101 Center St,Cleveland,OH,44113,,The Flats,(216) 394-0191,,,Yes,No,3.0 star rating,15 reviews,http://www.hustlerclubcleveland.com,Moderate,Mon 11:00 am - 2:30 am<br>Tue 11:00 am - 2:30 am<br>Wed 11:00 am - 2:30 am<br>Thu 11:00 am - 2:30 am<br>Fri 11:00 am - 2:30 am<br>Sat 11:00 am - 2:30 am<br>Sun 4:00 pm - 2:30 am<br>,,,,Yes,,,,,Yes,,,Loud,,,Full Bar,,,,,Yes,,Yes,,,,,"Adult Entertainment, Adult Entertainment",41.493975,-81.701768,"https://s3-media1.fl.yelpcdn.com/bphoto/sYtOayt-8nHt-_PPkQMe0g/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/sYtOayt-8nHt-_PPkQMe0g/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/sYtOayt-8nHt-_PPkQMe0g/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/sYtOayt-8nHt-_PPkQMe0g/300s.jpg 1.20x",http://www.yelp.com/biz/larry-flynts-hustler-club-cleveland?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secret’s Gentleman’s Club,12820 Brookpark Rd,Cleveland,OH,44130,,,(216) 458-1131,,,Yes,No,3.5 star rating,5 reviews,,,Mon 2:00 pm - 2:30 am<br>Tue 2:00 pm - 2:30 am<br>Wed 2:00 pm - 2:30 am<br>Thu 2:00 pm - 2:30 am<br>Fri 2:00 pm - 2:30 am<br>Sat 2:00 pm - 2:30 am<br>Sun 7:00 pm - 2:30 am<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",41.418444,-81.778227,"https://s3-media1.fl.yelpcdn.com/bphoto/8g2FIVq2G81_vR3jhMljTQ/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/8g2FIVq2G81_vR3jhMljTQ/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/8g2FIVq2G81_vR3jhMljTQ/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/8g2FIVq2G81_vR3jhMljTQ/300s.jpg 1.20x",http://www.yelp.com/biz/secrets-gentlemans-club-cleveland?osq=Adult+Entertainment,,,,,,
Crazy Horse Cabaret,16600 Brookpark Rd,Cleveland,OH,44135,,,(216) 433-1144,,,Yes,No,3.0 star rating,5 reviews,,Moderate,Mon 11:30 am - 2:30 am<br>Tue 11:30 am - 2:30 am<br>Wed 11:30 am - 2:30 am<br>Thu 11:30 am - 2:30 am<br>Fri 11:30 am - 2:30 am<br>Sat 7:00 pm - 2:30 am<br>Sun 8:00 pm - 2:30 am<br>,,,,Yes,,,,,Yes,,,Very Loud,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",41.419326,-81.814628,"https://s3-media2.fl.yelpcdn.com/bphoto/xy4N8Y4pvv4_LVf_7IcQoQ/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/xy4N8Y4pvv4_LVf_7IcQoQ/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/xy4N8Y4pvv4_LVf_7IcQoQ/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/xy4N8Y4pvv4_LVf_7IcQoQ/300s.jpg 1.20x",http://www.yelp.com/biz/crazy-horse-cabaret-cleveland?osq=Adult+Entertainment,,,,,,
The Alibi Inn,2232 Rockwell Ave,Cleveland,OH,44114,,"Chinatown, Quadrangle",(216) 687-8193,,,Yes,No,5.0 star rating,1 review,,,Mon 2:30 pm - 2:00 am<br>Tue 2:30 pm - 2:00 am<br>Wed 2:30 pm - 2:00 am<br>Thu 2:30 pm - 2:00 am<br>Fri 2:30 pm - 2:00 am<br>Sat 2:30 pm - 2:00 am<br>Sun 2:30 pm - 2:00 am<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",41.508777,-81.677427,,http://www.yelp.com/biz/the-alibi-inn-cleveland?osq=Adult+Entertainment,,,,,,
Executive’s Den,19600 S Waterloo Rd,Cleveland,OH,44119,,"North Collinwood, East 185th",(216) 486-8884,,,Yes,No,4.5 star rating,3 reviews,,Moderate,,,,,Yes,,,,,No,,,Very Loud,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",41.579063,-81.542758,"https://s3-media4.fl.yelpcdn.com/bphoto/P18h9y3ZczVFHFJnSBAfJw/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/P18h9y3ZczVFHFJnSBAfJw/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/P18h9y3ZczVFHFJnSBAfJw/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/P18h9y3ZczVFHFJnSBAfJw/300s.jpg 1.20x",http://www.yelp.com/biz/executives-den-cleveland?osq=Adult+Entertainment,,,,,,
Nikki And Ryan’s Wedding,1201-1249 East 9th St,Cleveland,OH,44114,,Civic Center,,,,Yes,No,4.0 star rating,1 review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Local Flavor, Adult Entertainment, Local Flavor",41.504775,-81.690758,,http://www.yelp.com/biz/nikki-and-ryans-wedding-cleveland?osq=Adult+Entertainment,,,,,,
