Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
Doll House,6105 Phillips Hwy,Jacksonville,FL,32216,,Southside,(904) 396-0932,,Charlie H.,Yes,No,5.0 star rating,2 reviews,,Moderate,Mon 12:00 pm - 2:00 am<br>Tue 12:00 pm - 2:00 am<br>Wed 12:00 pm - 2:00 am<br>Thu 12:00 pm - 2:00 am<br>Fri 12:00 pm - 2:00 am<br>Sat 12:00 pm - 2:00 am<br>Sun 7:00 pm - 2:00 am<br>,,,,Yes,,Private Lot,Yes,,Yes,,,Average,Background,No,No,No,,No,Yes,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",30.260491,-81.613525,"https://s3-media3.fl.yelpcdn.com/bphoto/mjF54CRrbG2jNWIm2yW9pg/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/mjF54CRrbG2jNWIm2yW9pg/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/mjF54CRrbG2jNWIm2yW9pg/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/mjF54CRrbG2jNWIm2yW9pg/300s.jpg 1.20x",http://www.yelp.com/biz/doll-house-jacksonville-2?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wacko’s Bar & Grill,3701 Emerson St,Jacksonville,FL,32207,,St. Nicholas,(904) 399-1110,,,Yes,No,2.5 star rating,9 reviews,http://wackosjacksonville.com,Moderate,Mon 11:00 am - 2:00 am<br>Tue 11:00 am - 2:00 am<br>Wed 11:00 am - 2:00 am<br>Thu 11:00 am - 2:00 am<br>Fri 11:00 am - 2:00 am<br>Sat 11:00 am - 2:00 am<br>Sun 11:00 am - 2:00 am<br>,,,,Yes,,,,,Yes,,,Loud,,,Full Bar,,,,,No,,Yes,,,,,"Bars, Adult Entertainment, Bars, Adult Entertainment",30.291646,-81.626677,"https://s3-media2.fl.yelpcdn.com/bphoto/vuGr9sfxqJHvSSfUpiEAvQ/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/vuGr9sfxqJHvSSfUpiEAvQ/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/vuGr9sfxqJHvSSfUpiEAvQ/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/vuGr9sfxqJHvSSfUpiEAvQ/300s.jpg 1.20x",http://www.yelp.com/biz/wackos-bar-and-grill-jacksonville?osq=Adult+Entertainment,,,,,,
Escape Showbar,2712 Cesery Blvd,Jacksonville,FL,32211,,Greater Arlington,(904) 647-6421,,,Yes,No,4.0 star rating,4 reviews,,Inexpensive,,,,,Yes,,,,,Yes,,,Loud,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",30.350776,-81.597082,,http://www.yelp.com/biz/escape-showbar-jacksonville?osq=Adult+Entertainment,,,,,,
Sinsation’s,2560 Emerson St,Jacksonville,FL,32207,,Southside,(904) 396-6739,,,Yes,No,3.0 star rating,4 reviews,,Inexpensive,Mon 12:00 pm - 2:00 am<br>Tue 12:00 pm - 2:00 am<br>Wed 12:00 pm - 2:00 am<br>Thu 12:00 pm - 2:00 am<br>Fri 12:00 pm - 2:00 am<br>Sat 12:00 pm - 2:00 am<br>Sun 7:00 pm - 2:00 am<br>,,,,,,,,,Yes,,,Very Loud,,,No,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",30.286766,-81.634362,"https://s3-media1.fl.yelpcdn.com/bphoto/4StQgEpdek7sT2Ypet-cTg/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/4StQgEpdek7sT2Ypet-cTg/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/4StQgEpdek7sT2Ypet-cTg/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/4StQgEpdek7sT2Ypet-cTg/300s.jpg 1.20x",http://www.yelp.com/biz/sinsations-jacksonville?osq=Adult+Entertainment,,,,,,
Bare Assets,10749 N Main St,Jacksonville,FL,32218,,Northside,(904) 757-7370,,,Yes,No,3.0 star rating,2 reviews,,Moderate,Mon 12:00 pm - 2:00 am<br>Tue 12:00 pm - 2:00 am<br>Wed 12:00 pm - 2:00 am<br>Thu 12:00 pm - 2:00 am<br>Fri 12:00 pm - 2:00 am<br>Sat 12:00 pm - 2:00 am<br>Sun 4:00 pm - 2:00 am<br>,,,,Yes,,,,,Yes,,,,,Yes,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",30.431576,-81.643726,,http://www.yelp.com/biz/bare-assets-jacksonville-2?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emperors Gentlemen’s Club,4923 University Blvd W,Jacksonville,FL,32216,,Southside,(904) 739-6966,,,Yes,No,,,http://emperorsjacksonville.com/,Moderate,Mon 11:00 am - 2:00 am<br>Tue 11:00 am - 2:00 am<br>Wed 11:00 am - 2:00 am<br>Thu 11:00 am - 2:00 am<br>Fri 11:00 am - 2:00 am<br>Sat 11:00 am - 2:00 am<br>Sun 12:00 pm - 2:00 am<br>,,,,Yes,,,,,Yes,,,,,,,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",30.267098,-81.618007,"https://s3-media1.fl.yelpcdn.com/bphoto/x0mG2-vmr-dmFW4zRqYPCQ/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/x0mG2-vmr-dmFW4zRqYPCQ/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/x0mG2-vmr-dmFW4zRqYPCQ/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/x0mG2-vmr-dmFW4zRqYPCQ/300s.jpg 1.20x",http://www.yelp.com/biz/emperors-gentlemens-club-jacksonville?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/mascaras-gentlemans-club-jacksonville?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/bitches-jacksonville?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/bottoms-up-jacksonville-2?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/scores-jacksonville-jacksonville?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/silver-fox-jacksonville?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/north-florida-dance-jacksonville?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/passions-showbar-jacksonville?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/flashdancers-showbar-jacksonville?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/pony-showbar-jacksonville?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/blue-angel-gentlemens-club-jacksonville?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/east-money-fun-room-jacksonville?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/thee-officers-club-atlantic-beach?osq=Adult+Entertainment,,,,,,
