Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
Men Exotic Entertainers,,Saint Louis,MO,,,,,,,Yes,No,1.0 star rating,1 review,http://www.omenmalestrippers.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",,,,http://www.yelp.com/biz/men-exotic-entertainers-saint-louis?osq=Adult+Entertainment,,,,,,
PT’s Centreville,60 Four Corners Ln,East St Louis,IL,62207,,,(618) 337-4400,,,Yes,No,3.5 star rating,4 reviews,http://ptscentreville.com/,Pricey,Mon 12:00 pm - 4:00 am<br>Tue 12:00 pm - 4:00 am<br>Wed 12:00 pm - 4:00 am<br>Thu 12:00 pm - 4:00 am<br>Fri 12:00 pm - 6:00 am<br>Sat 12:00 pm - 6:00 am<br>Sun 2:00 pm - 2:00 am<br>,,,,Yes,,,,,,,,Loud,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",38.557634,-90.099751,"https://s3-media4.fl.yelpcdn.com/bphoto/YDo0X8Mr9upT-QQbBTf1Jg/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/YDo0X8Mr9upT-QQbBTf1Jg/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/YDo0X8Mr9upT-QQbBTf1Jg/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/YDo0X8Mr9upT-QQbBTf1Jg/300s.jpg 1.20x",http://www.yelp.com/biz/pts-centreville-east-st-louis?osq=Adult+Entertainment,,,,,,
Roxy’s Night Club,210 Madison,Brooklyn,IL,62201,,,(618) 274-4491,,,Yes,No,2.0 star rating,7 reviews,http://www.RoxysStripClub.com,Moderate,Mon 12:00 pm - 4:00 am<br>Tue 12:00 pm - 4:00 am<br>Wed 12:00 pm - 4:00 am<br>Thu 12:00 pm - 4:00 am<br>Fri 12:00 pm - 6:00 am<br>Sat 12:00 pm - 6:00 am<br>Sun 2:00 pm - 2:00 am<br>,,,,Yes,,,,,Yes,,,Loud,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",38.662450,-90.139971,"https://s3-media3.fl.yelpcdn.com/bphoto/lAkdWXCmxhfWl_WZ_nHRiw/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/lAkdWXCmxhfWl_WZ_nHRiw/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/lAkdWXCmxhfWl_WZ_nHRiw/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/lAkdWXCmxhfWl_WZ_nHRiw/300s.jpg 1.20x",http://www.yelp.com/biz/roxys-night-club-brooklyn?osq=Adult+Entertainment,,,,,,
Boxers N Briefs,55 Four Corners Ln,East Saint Louis,IL,62207,,,(618) 332-6141,,,Yes,No,3.5 star rating,7 reviews,http://www.boxersnbriefs.com/,Pricey,,,,,Yes,,Private Lot,,,Yes,,,Loud,,,Full Bar,,,,,No,,No,,,,,"Adult Entertainment, Adult Entertainment",38.556682,-90.102025,"https://s3-media3.fl.yelpcdn.com/bphoto/JbfgNih039Moe_BpNl_bOw/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/JbfgNih039Moe_BpNl_bOw/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/JbfgNih039Moe_BpNl_bOw/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/JbfgNih039Moe_BpNl_bOw/300s.jpg 1.20x",http://www.yelp.com/biz/boxers-n-briefs-east-saint-louis?osq=Adult+Entertainment,,,,,,
Saint Louis Strippers,,Saint Louis,MO,63102,,Downtown,(314) 690-4000,,,No,No,,,http://www.stlouisstrippers.com,,Mon 9:00 am - 11:00 pm<br>Tue 9:00 am - 11:00 pm<br>Wed 9:00 am - 11:00 pm<br>Thu 9:00 am - 11:00 pm<br>Fri 9:00 am - 11:00 pm<br>Sat 9:00 am - 6:00 pm<br>Sun 12:00 pm - 10:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",,,,http://www.yelp.com/biz/saint-louis-strippers-saint-louis?osq=Adult+Entertainment,,,,,,
Chic Entertainment,12403 Roth Hill Dr,Maryland Heights,MO,63043,,Maryland Heights,(314) 878-2352,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Party & Event Planning, Adult Entertainment, Party & Event Planning",38.711549,-90.451445,,http://www.yelp.com/biz/chic-entertainment-maryland-heights?osq=Adult+Entertainment,,,,,,
Blondies Gentlemen’s Club,6113 Forest Blvd,Washington Park,IL,62204,,,(618) 875-9404,,,Yes,No,5.0 star rating,1 review,,Moderate,Mon 12:00 pm - 4:00 am<br>Tue 12:00 pm - 4:00 am<br>Wed 12:00 pm - 4:00 am<br>Thu 12:00 pm - 4:00 am<br>Fri 12:00 pm - 6:00 am<br>Sat 12:00 pm - 6:00 am<br>Sun 2:00 pm - 4:00 am<br>,,,,No,,,,,Yes,,,Loud,,,,,,,,,,,,,,,"Bars, Adult Entertainment, Bars, Adult Entertainment",38.637171,-90.084374,"https://s3-media1.fl.yelpcdn.com/bphoto/5LF7qNacHkNQVwPJnC2ydw/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/5LF7qNacHkNQVwPJnC2ydw/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/5LF7qNacHkNQVwPJnC2ydw/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/5LF7qNacHkNQVwPJnC2ydw/300s.jpg 1.20x",http://www.yelp.com/biz/blondies-gentlemens-club-washington-park?osq=Adult+Entertainment,,,,,,
Pure Pleasure,1881 S Old Highway 94,Saint Charles,MO,63303,,St Charles,(636) 946-6901,,,No,No,,,http://www.purepleasurestl.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Videos & Video Game Rental, Lingerie, Adult Entertainment, Videos & Video Game Rental, Lingerie, Adult Entertainment",38.763572,-90.527890,,http://www.yelp.com/biz/pure-pleasure-saint-charles?osq=Adult+Entertainment,,,,,,
New Release Video,2430 Hwy 94 S Outer Rd,Saint Charles,MO,63303,,St Charles,(636) 939-9070,,,Yes,No,3.5 star rating,3 reviews,,Moderate,Mon 6:00 am - 12:00 am<br>Tue 6:00 am - 12:00 am<br>Wed 6:00 am - 12:00 am<br>Thu 6:00 am - 12:00 am<br>Fri 6:00 am - 12:00 am<br>Sat 6:00 am - 12:00 am<br>Sun 6:00 am - 12:00 am<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",38.756792,-90.539943,,http://www.yelp.com/biz/new-release-video-saint-charles?osq=Adult+Entertainment,,,,,,
Pure Pleasure of St Peters,4332 N Service Rd,Saint Peters,MO,63376,,St Peters,(636) 498-6269,,,No,No,,,http://www.purepleasurestl.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",38.797653,-90.580251,,http://www.yelp.com/biz/pure-pleasure-of-st-peters-saint-peters?osq=Adult+Entertainment,,,,,,
Mookie’s Tavern,Angle Gate Cir,O'Fallon,MO,63368,,,,,,Yes,No,,,,,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Bars, Adult Entertainment, Bars",38.744980,-90.718231,"https://s3-media2.fl.yelpcdn.com/bphoto/n6JwYoGLt7vSRYzG4NCv2Q/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/n6JwYoGLt7vSRYzG4NCv2Q/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/n6JwYoGLt7vSRYzG4NCv2Q/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/n6JwYoGLt7vSRYzG4NCv2Q/300s.jpg 1.20x",http://www.yelp.com/biz/mookies-tavern-o-fallon-2?osq=Adult+Entertainment,,,,,,
