Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
Bottoms Up,307 Jefferson St,Brooklyn,IL,62059,,,(618) 271-7502,,,Yes,No,4.5 star rating,5 reviews,,Moderate,Mon 12:00 pm - 5:00 am<br>Tue 12:00 pm - 5:00 am<br>Wed 12:00 pm - 5:00 am<br>Thu 12:00 pm - 5:00 am<br>Fri 12:00 pm - 6:00 am<br>Sat 12:00 pm - 6:00 am<br>Sun 6:00 pm - 5:00 am<br>,,,,Yes,,,Yes,,Yes,,,Loud,DJ,Yes,Full Bar,Yes,,No,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",38.657427,-90.168316,"https://s3-media3.fl.yelpcdn.com/bphoto/5jRm8VNyyBPUSBeKesFTBw/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/5jRm8VNyyBPUSBeKesFTBw/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/5jRm8VNyyBPUSBeKesFTBw/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/5jRm8VNyyBPUSBeKesFTBw/300s.jpg 1.20x",http://www.yelp.com/biz/bottoms-up-brooklyn?osq=Adult+Entertainment,,,,,,
Country Rock Cabaret,200 Monsanto Ave,Sauget,IL,62201,,,(618) 274-4500,,,Yes,No,4.0 star rating,12 reviews,http://www.countryrockcabaret.com,Moderate,Mon 11:00 am - 4:00 am<br>Tue 11:00 am - 4:00 am<br>Wed 11:00 am - 4:00 am<br>Thu 11:00 am - 4:00 am<br>Fri 11:00 am - 6:00 am<br>Sat 12:00 pm - 6:00 am<br>Sun 12:00 pm - 2:00 am<br>,,,,Yes,,Private Lot,,,Yes,,,Average,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Sports Bars, Adult Entertainment, Sports Bars",38.602127,-90.179714,"https://s3-media4.fl.yelpcdn.com/bphoto/XfN9dkbjsR9yDOMeqesAQA/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/XfN9dkbjsR9yDOMeqesAQA/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/XfN9dkbjsR9yDOMeqesAQA/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/XfN9dkbjsR9yDOMeqesAQA/300s.jpg 1.20x",http://www.yelp.com/biz/country-rock-cabaret-sauget?osq=Adult+Entertainment,,,,,,
All American Sweethearts,,Saint Louis,MO,63102,,Downtown,(314) 252-8794,,Jenny A.,Yes,No,,,http://www.allamericansweetheart.com,,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",38.623996,-90.184622,"https://s3-media3.fl.yelpcdn.com/bphoto/PbIdbzx7nu726ctSH97cGw/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/PbIdbzx7nu726ctSH97cGw/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/PbIdbzx7nu726ctSH97cGw/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/PbIdbzx7nu726ctSH97cGw/300s.jpg 1.20x",http://www.yelp.com/biz/all-american-sweethearts-saint-louis-2?osq=Adult+Entertainment,,,,,,
Diamond Cabaret,1401 Mississippi Ave,Sauget,IL,62201,,,(618) 274-0380,,,Yes,No,4.0 star rating,6 reviews,http://www.diamondcabaretstlouis.com,Ultra High-End,Mon 11:00 am - 5:00 am<br>Tue 11:00 am - 5:00 am<br>Wed 11:00 am - 5:00 am<br>Thu 11:00 am - 5:00 am<br>Fri 11:00 am - 6:00 am<br>Sat Closed<br>Sun 4:00 pm - 6:00 am<br>,,,,Yes,,,,,Yes,,,Loud,DJ,Yes,Full Bar,Yes,Thu,No,Yes,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",38.603801,-90.174652,"https://s3-media2.fl.yelpcdn.com/bphoto/ivHGrsi9a3sqliBJ5Uw_Uw/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/ivHGrsi9a3sqliBJ5Uw_Uw/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/ivHGrsi9a3sqliBJ5Uw_Uw/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/ivHGrsi9a3sqliBJ5Uw_Uw/300s.jpg 1.20x",http://www.yelp.com/biz/diamond-cabaret-sauget?osq=Adult+Entertainment,,,,,,
Coeur De Royale,551 Coeur De Royale Dr,Saint Louis,MO,63141,,Creve Coeur,(314) 567-5394,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",38.664261,-90.440559,,http://www.yelp.com/biz/coeur-de-royale-saint-louis?osq=Adult+Entertainment,,,,,,
The Pink Slip,114 S 4th,Brooklyn,IL,62059,,,(618) 271-3151,,,Yes,No,3.5 star rating,11 reviews,,Moderate,,,,,Yes,,,,,Yes,,,Very Loud,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",38.657478,-90.168152,"https://s3-media1.fl.yelpcdn.com/bphoto/Im3x-qfpDjR9NNcY3flG4g/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/Im3x-qfpDjR9NNcY3flG4g/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/Im3x-qfpDjR9NNcY3flG4g/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/Im3x-qfpDjR9NNcY3flG4g/300s.jpg 1.20x",http://www.yelp.com/biz/the-pink-slip-brooklyn?osq=Adult+Entertainment,,,,,,
Exxottica,2427 Meramec St,Saint Louis,MO,63118,,Dutchtown,(800) 909-2969,,,No,No,,,http://www.Exxottica.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",38.579165,-90.229950,,http://www.yelp.com/biz/exxottica-saint-louis-2?osq=Adult+Entertainment,,,,,,
Larry Flynt’s Hustler Club,5420 Bunkum Rd,Washington Park,IL,62204,,,(618) 874-9334,,,Yes,No,3.5 star rating,21 reviews,http://www.stlouishustlerclub.com/,Moderate,Mon 12:00 pm - 4:00 am<br>Tue 12:00 pm - 4:00 am<br>Wed 12:00 pm - 4:00 am<br>Thu 12:00 pm - 4:00 am<br>Fri 12:00 pm - 6:00 am<br>Sat 12:00 pm - 6:00 am<br>Sun 12:00 pm - 4:00 am<br>,,,,Yes,,"Valet, Street, Private Lot",,,Yes,,Casual,Loud,DJ,Yes,Full Bar,,"Tue, Fri, Sat",,No,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",38.622671,-90.091324,"https://s3-media1.fl.yelpcdn.com/bphoto/UKsdAe0IHGOU8vwLz5mL8w/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/UKsdAe0IHGOU8vwLz5mL8w/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/UKsdAe0IHGOU8vwLz5mL8w/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/UKsdAe0IHGOU8vwLz5mL8w/300s.jpg 1.20x",http://www.yelp.com/biz/larry-flynts-hustler-club-washington-park?osq=Adult+Entertainment,,,,,,
St Louis Gentlemen,100 N Broadway,Saint Louis,MO,63102,,Downtown,(800) 203-8850,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",38.626468,-90.188861,,http://www.yelp.com/biz/st-louis-gentlemen-saint-louis?osq=Adult+Entertainment,,,,,,
Hollywood Show Club,5841 Bunkum Rd,East Saint Louis,IL,62204,,,(618) 874-9000,,,Yes,No,2.5 star rating,13 reviews,http://www.hollywoodshowclub.com,Pricey,Mon 12:00 pm - 4:00 am<br>Tue 12:00 pm - 4:00 am<br>Wed 12:00 pm - 4:00 am<br>Thu 12:00 pm - 4:00 am<br>Fri 12:00 pm - 6:00 am<br>Sat 12:00 pm - 6:00 am<br>Sun 2:00 pm - 4:00 am<br>,,,,Yes,,,,,Yes,,,Average,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",38.623701,-90.085680,"https://s3-media1.fl.yelpcdn.com/bphoto/K_btrvIOAu_aoaZ0pNEOnA/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/K_btrvIOAu_aoaZ0pNEOnA/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/K_btrvIOAu_aoaZ0pNEOnA/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/K_btrvIOAu_aoaZ0pNEOnA/300s.jpg 1.20x",http://www.yelp.com/biz/hollywood-show-club-east-saint-louis?osq=Adult+Entertainment,,,,,,
