Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
Little Darlings,2027 Westlake Ave,Seattle,WA,98121,b/t 7th Ave & Lenora St,Denny Triangle,(206) 623-0183,,,Yes,No,3.5 star rating,18 reviews,http://www.littledarlings-seattle.com,Moderate,Mon 4:00 pm - 2:30 am<br>Tue 4:00 pm - 2:30 am<br>Wed 4:00 pm - 2:30 am<br>Thu 4:00 pm - 2:30 am<br>Fri 4:00 pm - 2:30 am<br>Sat 4:00 pm - 2:30 am<br>Sun 4:00 pm - 2:30 am<br>,,,,Yes,,Street,,,Yes,,,Loud,,,No,,,,,No,,No,,,,,"Adult Entertainment, Adult Entertainment",47.615755,-122.338236,"https://s3-media1.fl.yelpcdn.com/bphoto/MWdgntWPxkfsfusRwuahuw/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/MWdgntWPxkfsfusRwuahuw/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/MWdgntWPxkfsfusRwuahuw/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/MWdgntWPxkfsfusRwuahuw/300s.jpg 1.20x",http://www.yelp.com/biz/little-darlings-seattle?osq=Adult+Entertainment,,,,,,
Your Party Girls,,Seattle,WA,98101,,Downtown,(206) 999-9115,,Abby YP G.,Yes,No,4.5 star rating,6 reviews,http://www.yourpartygirls.com,Moderate,Mon 9:00 am - 12:00 am<br>Tue 9:00 am - 12:00 am<br>Wed 9:00 am - 12:00 am<br>Thu 9:00 am - 12:00 am<br>Fri 9:00 am - 1:00 am<br>Sat 9:00 am - 2:00 am<br>Sun 10:00 am - 12:00 am<br>,,,,No,,,,,Yes,,,Average,,,,,,,,No,,,,,,,"Adult Entertainment, Adult Entertainment",,,"https://s3-media4.fl.yelpcdn.com/bphoto/RzgG21vO76hvhFOxiNlkUw/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/RzgG21vO76hvhFOxiNlkUw/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/RzgG21vO76hvhFOxiNlkUw/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/RzgG21vO76hvhFOxiNlkUw/300s.jpg 1.20x",http://www.yelp.com/biz/your-party-girls-seattle?osq=Adult+Entertainment,,,,,,
Deja Vu Showgirls,1510 1st Ave,Seattle,WA,98101,,Downtown,(206) 342-9160,,,Yes,No,3.0 star rating,42 reviews,http://www.dejavushowgirls-seattle.com/,Moderate,Mon 11:00 am - 2:30 am<br>Tue 11:00 am - 2:30 am<br>Wed 11:00 am - 2:30 am<br>Thu 11:00 am - 2:30 am<br>Fri 11:00 am - 2:30 am<br>Sat 11:00 am - 2:30 am<br>Sun 2:00 pm - 2:30 am<br>,,,,Yes,,Street,,,Yes,,,Very Loud,,,No,,,,,No,,No,,,,,"Adult Entertainment, Adult Entertainment",47.609252,-122.339950,"https://s3-media4.fl.yelpcdn.com/bphoto/FlJv5wWkujxytMRxxL9X_Q/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/FlJv5wWkujxytMRxxL9X_Q/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/FlJv5wWkujxytMRxxL9X_Q/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/FlJv5wWkujxytMRxxL9X_Q/300s.jpg 1.20x",http://www.yelp.com/biz/deja-vu-showgirls-seattle-4?osq=Adult+Entertainment,,,,,,
Sands Showgirls,7509 15th Ave NW,Seattle,WA,98117,b/t 75th St & 77th St,"Loyal Heights, Ballard",(206) 782-1225,"Enjoy continuous topless and nude entertainment until the late hours. So sit back and relax, and come meet some of the beautiful showgirls.Learn more about Sands Showgirls, Opens a popupSpecialtiesEnjoy continuous topless and nude entertainment until the late hours. So sit back and relax, and come meet some of the beautiful showgirls.HistoryEstablished in 1965.Local entertainment for Seattle. Growing and changing along the way!Meet the Manager",,Yes,No,3.0 star rating,16 reviews,http://www.sandsshowgirls.com,Moderate,Mon 12:00 pm - 2:30 am<br>Tue 12:00 pm - 2:30 am<br>Wed 12:00 pm - 2:30 am<br>Thu 12:00 pm - 2:30 am<br>Fri 12:00 pm - 2:30 am<br>Sat 12:00 pm - 2:30 am<br>Sun 12:00 pm - 2:30 am<br>,,,,Yes,,"Street, Private Lot",,,Yes,,,Average,,,No,,"Wed, Fri, Sat",,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",47.683610,-122.377079,"https://s3-media2.fl.yelpcdn.com/bphoto/l-qri7_xDXrY-yYyvjRL3g/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/l-qri7_xDXrY-yYyvjRL3g/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/l-qri7_xDXrY-yYyvjRL3g/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/l-qri7_xDXrY-yYyvjRL3g/300s.jpg 1.20x",http://www.yelp.com/biz/sands-showgirls-seattle-3?osq=Adult+Entertainment,,,,,,
Dream Girls at SoDo,1530 1st Ave S,Seattle,WA,98134,b/t Atlantic St & Massachusetts St,"Industrial District, SoDo",(206) 257-1000,,,Yes,No,2.5 star rating,19 reviews,http://www.dreamgirls-seattle.com,Moderate,Mon 11:00 am - 2:30 am<br>Tue 11:00 am - 2:30 am<br>Wed 11:00 am - 2:30 am<br>Thu 11:00 am - 2:30 am<br>Fri 11:00 am - 2:30 am<br>Sat 11:00 am - 2:30 am<br>Sun 2:00 pm - 2:30 am<br>,,,,Yes,,Street,,,Yes,,,Loud,,,No,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",47.589272,-122.333689,"https://s3-media3.fl.yelpcdn.com/bphoto/fyhnuUD03sUxTKHAseerOg/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/fyhnuUD03sUxTKHAseerOg/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/fyhnuUD03sUxTKHAseerOg/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/fyhnuUD03sUxTKHAseerOg/300s.jpg 1.20x",http://www.yelp.com/biz/dreamgirls-seattle-2?osq=Adult+Entertainment,,,,,,
Cowgirls,421 1st Ave S,Seattle,WA,98104,b/t King St & Jackson St,Pioneer Square,(206) 340-0777,,,Yes,No,2.0 star rating,172 reviews,http://www.cowgirlsinc.com,Moderate,Mon Closed<br>Tue Closed<br>Wed Closed<br>Thu 5:00 pm - 2:00 am<br>Fri 5:00 pm - 2:00 am<br>Sat Closed<br>Sun Closed<br>,Yes,,,Yes,,Street,,,Yes,,Divey,Very Loud,,,Full Bar,,,,,No,,Yes,,,,,"Dive Bars, Adult Entertainment, Dance Clubs, Dive Bars, Adult Entertainment, Dance Clubs",47.598517,-122.334611,"https://s3-media3.fl.yelpcdn.com/bphoto/15VKEcl8dbyhSC1916LvUg/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/15VKEcl8dbyhSC1916LvUg/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/15VKEcl8dbyhSC1916LvUg/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/15VKEcl8dbyhSC1916LvUg/300s.jpg 1.20x",http://www.yelp.com/biz/cowgirls-seattle-3?osq=Adult+Entertainment,,,,,,
Pandora’s Adult Cabaret,8914 Lake City Way NE,Seattle,WA,98115,b/t 89th St & 90th St,Wedgwood,(206) 524-6003,,Joe W.,Yes,No,2.5 star rating,7 reviews,http://www.pandorascabaret.com,Moderate,Mon 11:00 am - 2:30 am<br>Tue 11:00 am - 2:30 am<br>Wed 11:00 am - 2:30 am<br>Thu 11:00 am - 2:30 am<br>Fri 11:00 am - 2:30 am<br>Sat 11:00 am - 2:30 am<br>Sun 1:00 pm - 2:30 am<br>,,,,Yes,,"Street, Private Lot",,,Yes,,Intimate,Average,,,No,,,,,No,,No,,,,,"Adult Entertainment, Adult Entertainment",47.693759,-122.305314,"https://s3-media1.fl.yelpcdn.com/bphoto/pLOs6rN7nXsc6nPlETiCzg/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/pLOs6rN7nXsc6nPlETiCzg/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/pLOs6rN7nXsc6nPlETiCzg/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/pLOs6rN7nXsc6nPlETiCzg/300s.jpg 1.20x",http://www.yelp.com/biz/pandoras-adult-cabaret-seattle?osq=Adult+Entertainment,,,,,,
Dream Girls at Rick’s,11332 Lake City Way NE,Seattle,WA,98125,b/t 115th St & 113th St,,(206) 971-8916,,,Yes,No,3.0 star rating,9 reviews,http://www.dreamgirls-ricks.com/,Pricey,Mon 11:00 am - 2:30 am<br>Tue 11:00 am - 2:30 am<br>Wed 11:00 am - 2:30 am<br>Thu 11:00 am - 2:30 am<br>Fri 11:00 am - 2:30 am<br>Sat 11:00 am - 2:30 am<br>Sun 2:00 pm - 2:30 am<br>,,,,Yes,,Private Lot,,,Yes,,,Loud,,,No,,,,,No,,No,,,,,"Adult Entertainment, Adult Entertainment",47.711091,-122.299352,"https://s3-media4.fl.yelpcdn.com/bphoto/wpr7JZt50oPeNV4Tmd_pzA/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/wpr7JZt50oPeNV4Tmd_pzA/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/wpr7JZt50oPeNV4Tmd_pzA/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/wpr7JZt50oPeNV4Tmd_pzA/300s.jpg 1.20x",http://www.yelp.com/biz/dream-girls-at-ricks-seattle?osq=Adult+Entertainment,,,,,,
Full Throttle Parties-Seattle’s Bachelor Strippers Dancers,,Seattle,WA,98144,,South Lake Union,(425) 880-9359,,Renee C.,Yes,No,5.0 star rating,3 reviews,http://www.fullthrottleparties.com,,Mon 10:00 am - 2:00 am<br>Tue 10:00 am - 2:00 am<br>Wed 10:00 am - 2:00 am<br>Thu 10:00 am - 2:00 am<br>Fri 10:00 am - 2:00 am<br>Sat 10:00 am - 2:00 am<br>Sun 10:00 am - 2:00 am<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",47.620716,-122.347533,"https://s3-media4.fl.yelpcdn.com/bphoto/xR1Lr47F1IirrjLuQmS4xg/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/xR1Lr47F1IirrjLuQmS4xg/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/xR1Lr47F1IirrjLuQmS4xg/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/xR1Lr47F1IirrjLuQmS4xg/300s.jpg 1.20x",http://www.yelp.com/biz/full-throttle-parties-seattles-bachelor-strippers-dancers-seattle?osq=Adult+Entertainment,,,,,,
Kittens Cabaret,5800 4th Ave S,Seattle,WA,98108,b/t Mead St & Fidalgo St,Georgetown,(206) 588-1997,,,Yes,No,2.0 star rating,4 reviews,http://www.kittenscabaret.com,Moderate,Mon 10:30 am - 2:30 am<br>Tue 10:30 am - 2:30 am<br>Wed 10:30 am - 2:30 am<br>Thu 10:30 am - 2:30 am<br>Fri 10:30 am - 2:30 am<br>Sat 10:30 am - 2:30 am<br>Sun 10:30 am - 2:30 am<br>,,,,Yes,,Private Lot,Yes,,Yes,,,Loud,DJ,No,No,No,"Wed, Thu, Sat",No,Outdoor Area / Patio Only,No,,No,,,,,"Adult Entertainment, Adult Entertainment",47.550812,-122.328872,"https://s3-media1.fl.yelpcdn.com/bphoto/BUnJ2qu-uTD-DgvxnCJyUQ/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/BUnJ2qu-uTD-DgvxnCJyUQ/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/BUnJ2qu-uTD-DgvxnCJyUQ/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/BUnJ2qu-uTD-DgvxnCJyUQ/300s.jpg 1.20x",http://www.yelp.com/biz/kittens-cabaret-seattle?osq=Adult+Entertainment,,,,,,
