Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
The Republican,1734 Snyder Ave,Philadelphia,PA,19145,,,(484) 497-9317,"Dive Bars, Adult EntertainmentLearn more about The Republican, Opens a popupSpecialtiesDive Bars, Adult EntertainmentHistoryEstablished in 1933.......................................Philadelphia Magazine's ""Best of Philly""® 2012 ~ After Hours Club~Meet the Manager",,Yes,No,4.0 star rating,51 reviews,,Moderate,Mon Closed<br>Tue Closed<br>Wed 11:45 pm - 3:00 am<br>Thu 10:00 pm - 3:00 am<br>Fri 10:00 pm - 3:00 am<br>Sat 10:00 pm - 3:00 am<br>Sun Closed<br>,No,,,No,,Street,,,Yes,,Divey,Loud,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Dive Bars, Adult Entertainment, Dive Bars",39.924978,-75.175793,"https://s3-media3.fl.yelpcdn.com/bphoto/3dK9Q0W528345wdWw89Dpg/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/3dK9Q0W528345wdWw89Dpg/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/3dK9Q0W528345wdWw89Dpg/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/3dK9Q0W528345wdWw89Dpg/300s.jpg 1.20x",http://www.yelp.com/biz/the-republican-philadelphia?osq=Adult+Entertainment,,,,,,
Saints & Sinners,2533 Emery St,Philadelphia,PA,19125,,,(215) 203-8060,,,Yes,No,4.0 star rating,5 reviews,http://www.saintsandsinnersac.com,Moderate,Mon Closed<br>Tue Closed<br>Wed 9:00 pm - 3:00 am<br>Thu 9:00 pm - 3:00 am<br>Fri 9:00 pm - 3:00 am<br>Sat 9:00 pm - 4:00 am<br>Sun Closed<br>,,,,Yes,,,,,Yes,,,Loud,,,No,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",39.975169,-75.117235,"https://s3-media1.fl.yelpcdn.com/bphoto/BqCEyy-KQafPfJTo74BkdQ/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/BqCEyy-KQafPfJTo74BkdQ/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/BqCEyy-KQafPfJTo74BkdQ/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/BqCEyy-KQafPfJTo74BkdQ/300s.jpg 1.20x",http://www.yelp.com/biz/saints-and-sinners-philadelphia-4?osq=Adult+Entertainment,,,,,,
Penn’s Port Pub,1920 S Columbus Blvd,Philadelphia,PA,19148,,Pennsport,(215) 336-7033,"Are you looking for the most attractive go-go dancers in Philadelphia?You can find them at Penn's Port Pub 7 days a week.The best adult entertainment spot in Philadelphia.Plus …Learn more about Penn’s Port Pub, Opens a popupSpecialtiesAre you looking for the most attractive go-go dancers in Philadelphia?You can find them at Penn's Port Pub 7 days a week.The best adult entertainment spot in Philadelphia.Plus a kitchen serving great food with daily specials.HistoryEstablished in 1978.Penn's Port Pub was purchased in 1978.During its early life it catered to longshoremen finishing their shift of unloading ships.Over the years the port business has declined.Today we offer fine adult entertainment to a mixture of blue collar workers, white collar workers and couples.Yes, we are couple friendly.Meet the Business Owner",Thomas B.,Yes,No,4.5 star rating,11 reviews,http://www.pennsportpub.com/,Moderate,Mon 12:00 pm - 12:00 am<br>Tue 11:00 am - 7:00 pm<br>Wed 11:00 am - 12:00 am<br>Thu 11:00 am - 12:00 am<br>Fri 11:00 am - 12:00 am<br>Sat 11:00 am - 10:00 pm<br>Sun Closed<br>,No,,,Yes,,,,,Yes,,,Average,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Bars, Adult Entertainment, Bars",39.922498,-75.142613,"https://s3-media1.fl.yelpcdn.com/bphoto/bdsShBX4DFpEMWJv2QR8tg/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/bdsShBX4DFpEMWJv2QR8tg/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/bdsShBX4DFpEMWJv2QR8tg/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/bdsShBX4DFpEMWJv2QR8tg/300s.jpg 1.20x",http://www.yelp.com/biz/penns-port-pub-philadelphia?osq=Adult+Entertainment,,,,,,
The Peekaboo Revue,,Philadelphia,PA,19176,,,,,,Yes,No,4.5 star rating,10 reviews,http://www.peekaboorevue.com,Inexpensive,,,,,Yes,,,,No,Yes,,,Average,,,Full Bar,,,,,No,,Yes,,,,,"Performing Arts, Adult Entertainment, Performing Arts, Adult Entertainment",,,"https://s3-media1.fl.yelpcdn.com/bphoto/hp-0qDNbuxfcRXFw6doGKw/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/hp-0qDNbuxfcRXFw6doGKw/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/hp-0qDNbuxfcRXFw6doGKw/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/hp-0qDNbuxfcRXFw6doGKw/300s.jpg 1.20x",http://www.yelp.com/biz/the-peekaboo-revue-philadelphia?osq=Adult+Entertainment,,,,,,
Delilah’s,100 Spring Garden St,Philadelphia,PA,19123,,"Northern Liberties, Penn's Landing",(215) 625-2800,,,Yes,No,3.0 star rating,53 reviews,http://www.delilahs.com/,$31-60,,Yes,No,No,Yes,,Private Lot,,No,Yes,Casual,Upscale,Very Loud,,,Full Bar,,,,,No,Free,Yes,,,No,,"Adult Entertainment, Steakhouses, Adult Entertainment, Steakhouses",39.959736,-75.139413,"https://s3-media1.fl.yelpcdn.com/bphoto/UCJ0F9-6YTkXM4zKm170Ww/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/UCJ0F9-6YTkXM4zKm170Ww/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/UCJ0F9-6YTkXM4zKm170Ww/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/UCJ0F9-6YTkXM4zKm170Ww/300s.jpg 1.20x",http://www.yelp.com/biz/delilahs-philadelphia?osq=Adult+Entertainment,,,,,,
Gold Club,1416 Chancellor St,Philadelphia,PA,19102,,"Rittenhouse Square, Avenue of the Arts South",(215) 670-9999,,,Yes,No,2.5 star rating,27 reviews,http://www.worldfamousgoldclub.com,Moderate,Mon 12:00 pm - 2:00 am<br>Tue 12:00 pm - 2:00 am<br>Wed 12:00 pm - 2:00 am<br>Thu 12:00 pm - 2:00 am<br>Fri 12:00 pm - 2:00 am<br>Sat 12:00 pm - 2:00 am<br>Sun 3:00 pm - 2:00 am<br>,,,,Yes,,,,,Yes,,Divey,Average,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",39.948626,-75.164825,"https://s3-media4.fl.yelpcdn.com/bphoto/O8kFKwvMVkk8pX3uBcfY4g/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/O8kFKwvMVkk8pX3uBcfY4g/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/O8kFKwvMVkk8pX3uBcfY4g/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/O8kFKwvMVkk8pX3uBcfY4g/300s.jpg 1.20x",http://www.yelp.com/biz/gold-club-philadelphia?osq=Adult+Entertainment,,,,,,
Cheerleaders,2740 S Front St,Philadelphia,PA,19148,,,(215) 467-1980,,,Yes,No,3.0 star rating,11 reviews,http://www.cheerleadersphiladelphia.com,Moderate,Mon 12:00 pm - 2:00 am<br>Tue 12:00 pm - 2:00 am<br>Wed 12:00 pm - 2:00 am<br>Thu 12:00 pm - 2:00 am<br>Fri 12:00 pm - 2:00 am<br>Sat 12:00 pm - 2:00 am<br>Sun 12:00 pm - 2:00 am<br>,Yes,,,Yes,,Private Lot,,,Yes,,,Loud,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Sports Bars, Adult Entertainment, Sports Bars",39.912382,-75.151064,"https://s3-media1.fl.yelpcdn.com/bphoto/zs6G7488GFl0R1o4v0CnuA/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/zs6G7488GFl0R1o4v0CnuA/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/zs6G7488GFl0R1o4v0CnuA/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/zs6G7488GFl0R1o4v0CnuA/300s.jpg 1.20x",http://www.yelp.com/biz/cheerleaders-philadelphia?osq=Adult+Entertainment,,,,,,
Daydreams,5200 Unruh Ave,Philadelphia,PA,19135,,Tacony,(215) 338-3838,"Daydreams is an ALL NUDE Strip club featuring beautiful Dreamgirls. Daydreams specializes in bachelor parties. We are a ""BYOB"" club butt also give away a free six pack Sunday - …Learn more about Daydreams, Opens a popupSpecialtiesDaydreams is an ALL NUDE Strip club featuring beautiful Dreamgirls. Daydreams specializes in bachelor parties. We are a ""BYOB"" club butt also give away a free six pack Sunday - Thursday. We are open six days a week at 7 PMHistoryEstablished in 1996.Daydreams is a stripclub featuring beautiful, fully nude entertainers. Daydreams is a relaxed atmosphere, relaxed dress, and fun place. The girls are friendly and we don't hustle our customers. Our parties, being BYOB will remind you of your college keg parties. Couples and ladies are encouraged to enjoy Daydreams.",,Yes,No,3.5 star rating,20 reviews,http://daydreams.us/,Moderate,Mon Closed<br>Tue 8:00 pm - 2:00 am<br>Wed 8:00 pm - 2:00 am<br>Thu 8:00 pm - 2:00 am<br>Fri 8:00 pm - 2:00 am<br>Sat 8:00 pm - 3:00 am<br>Sun 8:00 pm - 2:00 am<br>,,,,Yes,,Private Lot,,,Yes,,"Divey, Romantic",Loud,,,No,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",40.017739,-75.041367,"https://s3-media3.fl.yelpcdn.com/bphoto/GYzIlBAeIkm5mGkOYxHWIg/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/GYzIlBAeIkm5mGkOYxHWIg/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/GYzIlBAeIkm5mGkOYxHWIg/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/GYzIlBAeIkm5mGkOYxHWIg/300s.jpg 1.20x",http://www.yelp.com/biz/daydreams-philadelphia-2?osq=Adult+Entertainment,,,,,,
Club Risqué,1700 S Christopher Columbus Blvd,Philadelphia,PA,19148,,Pennsport,(215) 463-6900,"About Club Risqué:Club Risqué is Delaware Valley's premier Gentlemen's Club with two club locations in Philadelphia and one in Bristol. As seductive as our city's culture, the women …Learn more about Club Risqué, Opens a popupSpecialtiesAbout Club Risqué:Club Risqué is Delaware Valley's premier Gentlemen's Club with two club locations in Philadelphia and one in Bristol. As seductive as our city's culture, the women of Club Risqué will captivate you with their performances, weaving spells that linger long after your visit. We are constantly dreaming up new ways to tease and tantalize, with innovative adult entertainment events, bachelor party offerings, exclusive VIP membership perks, and more. Our goal is to ensure your time with us is the adult entertainment experience you've always fantasized.",,Yes,No,3.0 star rating,20 reviews,http://www.clubrisque.com,Moderate,Mon 11:30 am - 2:00 am<br>Tue 11:30 am - 2:00 am<br>Wed 11:30 am - 2:00 am<br>Thu 11:30 am - 2:00 am<br>Fri 11:30 am - 4:00 am<br>Sat 3:00 pm - 4:00 am<br>Sun 3:00 pm - 2:00 am<br>,,,,Yes,,Private Lot,,,Yes,,,Loud,DJ,Yes,Full Bar,,"Thu, Fri, Sat",,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",39.925397,-75.144875,"https://s3-media3.fl.yelpcdn.com/bphoto/mPx_5ectq62T0m73TvXYlg/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/mPx_5ectq62T0m73TvXYlg/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/mPx_5ectq62T0m73TvXYlg/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/mPx_5ectq62T0m73TvXYlg/300s.jpg 1.20x",http://www.yelp.com/biz/club-risque-philadelphia-philadelphia?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
